track_id,user,name,artists,duration,is_explicit,popularity,has_track_features,dancability,energy,loudness,tempo,speechiness,acousticness,instrumentalness,valence,liveness
0ISxyAhfop0MoMeAUw72RN,basmerbel,The Bells,['Jeff Mills'],285.413,False,45,True,0.616,0.995,-3.647,137.514,0.114,0.000372,0.952,0.772,0.112
2h7QQElCjDcPKoYhUooTGz,basmerbel,Dumpster,['Perc'],369.475,False,5,True,0.874,0.879,-8.654,130.004,0.0619,0.000636,0.916,0.25,0.119
425aJX4cU4eufuAFBCnrrZ,basmerbel,Take Your Body Off,['Perc'],362.154,False,6,True,0.698,0.773,-8.683,128.003,0.0322,4.03e-05,0.914,0.0387,0.0467
4BBJIOZIz1F7mehcQgNJ8e,basmerbel,On Request,['Karenn'],423.138,False,28,True,0.677,0.676,-11.618,133.985,0.0814,0.0372,0.828,0.16,0.316
1ixoqdjhLHhVy4kSUtxkFA,basmerbel,Collider - Karenn Remix,"['Jon Hopkins', 'Karenn']",399.826,False,23,True,0.768,0.753,-7.213,135.028,0.1,0.0264,0.894,0.545,0.336
6XeNfVpkrE1Ai9CQWo4cgu,basmerbel,LET’S DO IT AGAIN,['Jamie xx'],439.441,False,53,True,0.683,0.757,-8.808,124.003,0.0354,0.07,0.874,0.31,0.112
3pR2o9Qug5qhaFUF8zqsFY,11140450740,Gemini,"['What So Not', 'George Maple']",270.257,False,28,True,0.481,0.687,-6.748,145.971,0.0699,0.238,0.11,0.188,0.107
2Fxmhks0bxGSBdJ92vM42m,31hbrww3peprl3puzzaqqf6yfycy,bad guy,['Billie Eilish'],194.087,False,84,True,0.701,0.425,-10.965,135.128,0.375,0.328,0.13,0.562,0.1
75CLNW6Goi8LZ6rYGDmfHS,31hbrww3peprl3puzzaqqf6yfycy,Have You Ever Been Mellow,['Party Animals'],188.003,False,49,True,0.601,0.955,-4.338,171.579,0.0517,0.196,0.898,0.568,0.25
1fGqXnx6lkyfCUTORlPYT6,31hbrww3peprl3puzzaqqf6yfycy,Children Of The Night - Radio Edit,['Nakatomi'],246.106,False,49,True,0.592,0.894,-6.236,171.39,0.0653,0.00198,0.000159,0.654,0.0833
6Phug5Bw0QShaFvRMeBVzZ,31hbrww3peprl3puzzaqqf6yfycy,Walk on Water - H2O Radio Mix,['Milk Inc.'],192.68,False,55,True,0.733,0.79,-8.482,140.928,0.0588,0.0938,4.86e-06,0.428,0.152
4sTIDPmWF7UL7qK1Ya1iM6,31hbrww3peprl3puzzaqqf6yfycy,Turbo (feat. New Kids),"['Paul Elstak', 'New Kids']",213.948,False,48,True,0.429,0.849,-6.956,173.059,0.0454,0.0403,0.26,0.368,0.0965
4KcH1ZRV2W1q7Flq0QqC76,31hbrww3peprl3puzzaqqf6yfycy,Blitzkrieg Bop - 2016 Remaster,['Ramones'],134.466,False,72,True,0.385,0.783,-2.533,176.701,0.233,0.000269,0.47,0.902,0.108
4XYWfcVGfxv1sm1ch1TRud,31hbrww3peprl3puzzaqqf6yfycy,Chaos in Nijmegen - Remastered,['The Squats'],145.91,False,1,True,0.382,0.762,-9.464,136.247,0.0763,0.00474,0.0,0.271,0.351
2hHLbkatPwOOmrNxTiD41L,31hbrww3peprl3puzzaqqf6yfycy,I Really Like You,['Carly Rae Jepsen'],204.763,False,70,True,0.62,0.805,-5.538,122.062,0.0417,0.00564,9.15e-05,0.586,0.285
5cY8y2XgOfkAh4kSWLFKkz,31hbrww3peprl3puzzaqqf6yfycy,I Write Sins Not Tragedies,['Panic! At The Disco'],185.586,False,71,True,0.566,0.815,-4.481,169.961,0.14,0.0737,0.0,0.672,0.12
3l9CW99AHtExIRV4hW2N5m,31hbrww3peprl3puzzaqqf6yfycy,Misery Business,['Paramore'],211.52,False,73,True,0.517,0.906,-3.677,172.977,0.0735,0.00272,9.26e-06,0.731,0.113
0COqiPhxzoWICwFCS4eZcp,31hbrww3peprl3puzzaqqf6yfycy,Bring Me To Life,['Evanescence'],235.893,False,81,True,0.331,0.943,-3.188,94.612,0.0698,0.00721,2.06e-06,0.296,0.242
0gmbgwZ8iqyMPmXefof8Yf,31hbrww3peprl3puzzaqqf6yfycy,How You Remind Me,['Nickelback'],223.84,False,79,True,0.446,0.764,-5.042,172.094,0.033,0.00135,0.0,0.543,0.099
